"beta0","beta[1]","beta[2]","beta[3]","beta[4]","beta[5]","beta[6]","beta[7]","zbeta0","zbeta[1]","zbeta[2]","zbeta[3]","zbeta[4]","zbeta[5]","zbeta[6]","zbeta[7]","guess"
-4.79368,0.0133257,0.000791423,4.50208e-05,0.000557178,0.204492,0.230418,0.0266204,-1.98286,0.282412,0.415916,0.0322622,0.716214,0.0614529,0.0958308,0.0128185,0.0116199
-4.16414,0.0101725,0.000816087,2.91303e-05,0.000438688,-0.138506,-0.00452017,-0.0647896,-1.9456,0.215586,0.428878,0.0208749,0.563904,-0.0416232,-0.00187994,-0.0311981,0.0134454
-4.61404,0.0119298,0.000725914,0.000189468,0.000491787,0.305254,0.0306196,0.0429745,-1.99817,0.252829,0.38149,0.135774,0.632158,0.0917334,0.0127347,0.0206935,0.012137
-4.70308,0.0116932,0.000938181,0.000139542,0.000453868,0.17456,0.282329,-0.0379257,-2.01899,0.247815,0.493042,0.0999968,0.583416,0.0524577,0.117421,-0.0182624,0.0113921
-5.01021,0.016935,0.000637463,-1.29686e-05,0.000553051,0.482652,-0.0146107,0.166988,-1.94966,0.358903,0.335006,-0.00929336,0.710909,0.145044,-0.0060766,0.0804099,0.00987202
-4.81557,0.0149897,0.00070157,2.07622e-07,0.000538108,0.511215,-0.00697699,-0.00800812,-1.98369,0.317677,0.368696,0.000148783,0.691701,0.153628,-0.00290173,-0.00385616,0.0117568
-4.83566,0.0127697,0.000772132,0.000191393,0.000468417,0.207677,0.342146,0.139819,-2.02382,0.270629,0.405778,0.137153,0.602118,0.0624098,0.142299,0.0673273,0.00707087
-4.42592,0.0104101,0.000827829,8.30589e-05,0.000513548,0.0174885,0.0660754,-0.126108,-2.03614,0.22062,0.435049,0.0595204,0.66013,0.00525556,0.0274808,-0.0607246,0.00210707
-4.11372,0.0087934,0.000813983,-1.81709e-05,0.000537692,0.0271232,0.176443,-0.166509,-1.94898,0.186359,0.427772,-0.0130213,0.691166,0.00815093,0.0733826,-0.0801792,0.0185835
-4.25746,0.011327,0.000830791,-7.37026e-05,0.000479733,0.191673,0.0462137,-0.103493,-1.90335,0.240054,0.436605,-0.0528157,0.616664,0.0576004,0.0192203,-0.0498351,0.0163977
-4.54318,0.010803,0.000896519,0.000105107,0.000479918,-0.00979639,-0.214026,0.0162436,-2.09309,0.228948,0.471148,0.0753204,0.616902,-0.00294396,-0.0890133,0.0078218,0.0116727
-4.53636,0.0112387,0.000828206,2.67199e-05,0.000518285,0.234535,-0.145342,-0.147375,-2.12692,0.238183,0.435247,0.0191476,0.66622,0.0704813,-0.0604477,-0.0709653,0.00801075
-4.66973,0.0106816,0.000804343,0.000189988,0.000472151,0.524883,0.185685,0.0738291,-2.08384,0.226375,0.422707,0.136146,0.606918,0.157735,0.0772265,0.035551,0.00982463
-4.73725,0.0116762,0.000890085,0.000155384,0.000477334,0.28171,0.171919,0.124694,-2.00711,0.247453,0.467766,0.111349,0.61358,0.084658,0.0715011,0.060044,0.0196344
-4.4139,0.0102736,0.000796356,4.65636e-05,0.000489644,-0.120207,0.324147,0.169668,-1.96693,0.217728,0.418509,0.0333677,0.629403,-0.0361239,0.134813,0.0817005,0.000858055
-3.70425,0.00490594,0.000916654,0.000123416,0.000435414,-0.432308,-0.0209736,0.0637495,-1.89863,0.103972,0.481729,0.0884407,0.559695,-0.129915,-0.00872292,0.0306973,0.00805191
-4.24704,0.00750349,0.000822173,0.000148861,0.000486359,0.14371,0.237983,0.155206,-2.00468,0.159022,0.432077,0.106675,0.625181,0.0431871,0.0989775,0.0747366,0.012249
-4.52824,0.00945952,0.00101885,0.000163934,0.000492136,0.256339,-0.00300817,0.00238463,-2.0028,0.200476,0.535439,0.117476,0.632607,0.0770337,-0.0012511,0.00114827,0.0120161
