"beta0","runtime","actor_name_score","studio_score","crew_member_score","season_autumn","season_spring","season_summer"
-1.96167,0.173609,0.454445,0.0996983,0.546707,-0.0159038,0.0355709,0.0135066
-1.94315,0.337947,0.399962,0.272323,0.473648,0.230505,0.138094,0.0240786
-2.00926,0.410867,0.283563,0.141386,0.562415,0.123944,0.164577,0.127569
-2.11988,0.205612,0.525021,0.139894,0.548176,0.174261,0.216956,0.168813
-2.19304,0.19422,0.723334,0.0435254,0.564952,0.205194,0.170576,0.144172
-1.87859,0.397217,0.550144,-0.0119091,0.478126,0.0772921,0.107066,0.0214756
-2.00578,0.357032,0.318867,0.0795145,0.548667,0.0761196,0.287016,0.10832
-2.0144,0.287368,0.407383,0.196355,0.667812,-0.0198819,0.226193,0.241564
-2.05698,0.299404,0.453556,0.0480097,0.676238,0.0434754,0.170139,0.210877
-1.97045,0.360302,0.368645,0.113804,0.667875,0.275515,0.267514,0.105685
-2.02683,0.389974,0.385645,0.180702,0.604406,0.27803,0.118526,0.09912
-2.01835,0.323091,0.400767,0.121402,0.596084,0.115811,0.100667,0.0921737
-2.01681,0.438283,0.299337,0.207806,0.526179,-0.0504175,0.126414,0.0818323
-2.12627,0.166956,0.473664,0.170928,0.633633,0.0411061,0.126364,0.145896
-2.03498,0.313008,0.52597,0.127808,0.49518,0.198473,0.0341217,-0.0519693
-2.09805,0.252863,0.548842,0.0433655,0.588427,-0.0489474,0.0575673,0.0363225
-2.03679,0.400028,0.445687,0.0235657,0.644229,0.103793,-0.0237866,0.0210509
-1.86928,0.263798,0.411864,0.169794,0.574939,0.117331,0.174724,0.0609076
-2.05114,0.281332,0.673844,0.100012,0.476069,0.0931155,0.171264,0.0359815
-2.15679,0.260971,0.576063,0.0575186,0.578619,0.187569,0.173927,0.020474
-1.928,0.27139,0.604462,0.186455,0.490022,0.0857149,0.0822722,0.14899
-1.9271,0.179213,0.497276,0.107693,0.536389,0.149115,0.137197,0.0819309
-1.94445,0.385641,0.443052,0.192459,0.504636,0.0734617,0.30994,0.20876
-1.92685,0.332029,0.454688,0.12868,0.502545,0.0698881,0.0552782,0.115689
-1.9488,0.230132,0.580616,0.101896,0.57834,-0.0450112,0.0286303,0.00197838
-2.06908,0.360628,0.397107,0.120239,0.602499,-0.0765725,0.0207767,0.0392564
-2.19581,0.350059,0.513529,0.131783,0.584024,0.203965,0.0469416,0.0413158
-2.18206,0.374126,0.547109,0.140138,0.603454,0.211501,0.234505,0.150903
-2.1092,0.307252,0.557373,0.203973,0.592622,0.139748,0.305637,0.0772466
-1.96329,0.286078,0.550787,-0.0314788,0.619756,0.10669,0.127407,0.125762
-2.01088,0.317735,0.502568,0.0597625,0.618867,0.0233713,0.146256,0.0700482
-1.88393,0.326454,0.461424,0.0492778,0.653756,0.110734,0.201129,0.142405
-1.93384,0.272192,0.440902,0.0359816,0.638811,0.150651,0.0927019,0.0930597
-2.00106,0.196205,0.539328,0.118078,0.665652,0.139709,0.110771,0.110525
-2.2238,0.380286,0.416745,0.0910354,0.587162,0.29919,0.254263,0.26126
-1.98647,0.232895,0.409987,0.167793,0.702122,0.190744,0.276903,0.19382
-2.00477,0.376852,0.51887,0.13664,0.508756,0.130429,0.199293,0.131372
-2.07752,0.382383,0.434559,0.137665,0.599185,0.207418,0.194216,0.166396
-2.0381,0.432287,0.458547,0.22883,0.474379,0.0949897,0.0818469,0.103593
-1.98883,0.210572,0.568488,0.00743852,0.540991,0.124061,0.159398,0.106122
-2.11226,0.298362,0.581239,0.110585,0.582884,0.0971482,0.168584,0.0257875
-2.07706,0.308663,0.396632,0.250217,0.462702,0.160152,0.19865,0.0105076
-1.97591,0.325562,0.441586,0.220764,0.491645,0.140974,0.141152,0.229192
-1.94398,0.29685,0.457093,0.174344,0.586083,0.12394,0.117618,0.0183566
-1.82492,0.280462,0.449968,0.143461,0.463014,0.204406,0.133772,0.167688
-1.78856,0.24955,0.403648,0.162019,0.482418,0.0186872,0.0994481,0.0482486
-1.97825,0.340146,0.343997,0.108017,0.644433,0.0148522,0.182128,0.000616753
-1.94167,0.371414,0.264049,0.171499,0.629458,0.0354359,0.15919,0.0826669
-1.93416,0.39341,0.276393,0.190444,0.4336,0.193207,0.164825,0.106948
-2.02926,0.290683,0.548771,0.171563,0.529748,0.209277,0.321638,0.0183238
-2.06281,0.283374,0.397217,0.0799871,0.645331,0.236464,0.0651096,0.209223
-1.98044,0.197733,0.452356,0.0903364,0.707882,0.278588,0.187606,0.0402222
-1.88501,0.334852,0.406379,0.10296,0.52388,0.0609221,0.107865,0.193394
-1.8872,0.197194,0.447907,0.199651,0.502211,0.116465,0.190757,0.198814
-2.07623,0.256758,0.438824,0.116058,0.646669,0.0748461,0.255539,0.239547
-2.113,0.235691,0.537098,0.212951,0.616274,0.15626,0.270053,0.233808
-2.01579,0.261787,0.55853,0.0972837,0.47156,0.254465,0.210294,0.233894
-2.16357,0.22347,0.569525,0.20896,0.543865,0.176782,0.326999,0.21084
-1.96285,0.142078,0.606051,0.0823057,0.529673,0.1518,0.240114,0.148245
-2.11035,0.40591,0.602816,0.1727,0.480067,0.112623,0.137363,0.116151
-1.91955,0.213473,0.460388,0.120809,0.501526,0.18334,0.124997,0.0932494
-1.92504,0.261087,0.423902,0.230353,0.641139,0.0607167,0.105372,0.00622139
-1.93765,0.232918,0.457882,0.113256,0.523697,0.04042,0.112094,-0.0288938
-1.97883,0.206142,0.514387,0.254787,0.466935,0.0401211,0.167884,0.005467
-2.02321,0.26787,0.623892,0.183772,0.518126,0.140487,0.120708,-0.163097
-2.14339,0.298109,0.506649,0.0418675,0.620419,0.264746,0.142419,0.0378461
-1.973,0.358693,0.44976,0.148066,0.631844,0.157501,0.148144,0.154679
-2.00842,0.326522,0.492939,0.1118,0.651118,0.199832,0.327562,0.143444
-2.09997,0.325478,0.388247,0.0561957,0.538091,0.227743,0.499824,0.474571
-1.99775,0.286853,0.637964,0.00628818,0.52766,0.20391,0.317063,0.334114
-1.91863,0.182073,0.657453,0.114093,0.486283,0.202538,0.214483,0.225928
-1.88316,0.353629,0.302989,0.149626,0.526244,0.21011,0.156554,0.223257
-2.05442,0.242635,0.408193,0.113348,0.610141,-0.0162571,0.140655,0.258986
-1.98325,0.296656,0.342321,0.0663097,0.661738,-0.0550509,0.056026,-0.0477226
-2.13526,0.345658,0.587867,0.0855079,0.480581,-0.0625715,0.159358,0.0674206
-1.99605,0.320873,0.451346,0.132498,0.555681,0.135195,0.247736,0.221897
-1.9161,0.342531,0.454903,0.231895,0.427723,0.15846,0.344838,0.109025
-2.02034,0.396303,0.539666,0.147743,0.498094,0.260003,0.251964,0.177422
-1.91396,0.417847,0.492389,0.0176236,0.487432,0.162451,0.254965,0.240224
-1.82413,0.371482,0.202227,0.234225,0.473412,0.12998,0.238546,0.110618
-1.89476,0.246686,0.317377,-0.00164173,0.761568,0.155293,0.252393,0.172578
-1.97893,0.277153,0.516327,0.0495347,0.689026,0.182153,0.29697,0.172428
