"","runtime","release_year","actor_name_score","studio_score","crew_member_score","target","season_autumn","season_spring","season_summer","season_winter"
"1",162,2009,1579.16475311361,1675.38136123645,6633.54581786527,1,0,0,0,1
"2",169,2007,2026.44805412955,726.144273993364,3253.21125892591,1,0,1,0,0
"6",139,2007,3603.5976907305,1158.88094264466,3336.54353255703,0,0,1,0,0
"7",100,2010,548.518474738143,607.694322335808,1403.38251028922,1,0,0,0,1
"9",153,2009,2143.14712957108,1837.16335834771,1092.57431235318,1,0,0,1,0
"11",154,2006,807.271148736001,2178.74653560297,1671.15253289995,0,0,0,1,0
"12",106,2008,1222.81209608593,162.431857843828,1548.39603978582,1,1,0,0,0
"13",151,2006,1934.94825775287,726.144273993364,2791.02969872349,1,0,0,1,0
"16",150,2008,789.51046000178,307.054247953998,3515.16538225416,1,0,1,0,0
"22",140,2010,1795.78706431729,2267.40772302731,2150.15572044724,1,0,1,0,0
"24",113,2007,1406.77103680657,812.970321679577,2153.8364540849,0,0,0,0,1
"25",187,2005,1233.94953445919,1538.87808767123,2936.58817866025,1,0,0,0,1
"26",194,1997,2577.89043470316,2642.57981632482,3528.05789004009,1,0,0,0,1
"31",127,2004,3059.19982771449,1158.88094264466,5108.57315480314,1,0,0,1,0
"33",108,2010,1796.56290724456,753.439416853953,1947.06629221753,1,0,1,0,0
"34",104,2006,2032.26505806976,1947.67315047891,3406.53644216465,0,0,1,0,0
"36",150,2009,1852.89938696202,2426.71781989072,4743.87126255415,0,0,0,1,0
"40",125,2010,869.36705491528,749.568741472446,1174.04976898084,1,0,0,0,1
"43",103,2010,2183.35165558021,651.592235718251,1318.51326183024,1,0,0,1,0
"44",115,2009,973.58871602334,2865.33499027916,3251.32125481866,0,0,1,0,0
"51",116,2010,831.418080502931,712.089582727737,3446.07446311689,1,0,1,0,0
"54",122,2008,1566.39226111124,1514.51910056386,2590.01535322197,0,0,1,0,0
"58",98,2008,934.564877852913,653.095582049325,2106.37088446863,1,0,0,1,0
"59",91,2007,717.497802134292,600.447579566834,1180.88994630172,0,0,0,1,0
"60",158,2009,1628.40120474371,1152.65628866457,4398.47679485086,0,1,0,0,0
"61",96,2009,948.214141039153,95.8423013895598,936.436083250654,1,0,0,0,1
"64",143,2005,1248.89439371708,138.431987064815,1786.18064414677,1,0,0,0,1
"66",152,2008,3830.82187349896,2261.02843429162,6819.40358564749,1,0,0,1,0
"67",96,2009,828.413239190873,76.5935084880651,2911.37468950519,1,0,1,0,0
"68",94,2009,1596.56828651422,165.976139189189,459.471262364669,0,0,1,0,0
"69",126,2008,2380.90227771864,74.1760466947321,1863.01692834159,1,0,1,0,0
"71",106,1999,1101.32711596688,1818.39825641718,562.944986211292,0,0,0,1,0
"72",112,2008,597.582334047661,1992.55966891379,1656.46672604344,0,0,0,1,0
"74",96,2007,1219.35397775672,3328.57560182244,2709.44638873007,0,0,0,1,0
"76",135,1995,726.532398025799,1627.08202912858,3527.93955531558,0,0,0,1,0
